Season,Rank,Team,Driver,Races,Win,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Points,Diff,Ppts
2019,38,Field,   Ross Chastain,4,0,0,1,0,1087,0,34.8,25.2,4,1696.02,1,0,-177,0
2019,39,Field,   Parker Kligerman,3,0,0,0,0,786,0,30.3,25.3,3,1396.72,0,0,-177,0
2019,40,Field,   B.J. McLeod,3,0,0,0,0,733,0,36.3,29.3,3,1312.02,0,0,-177,0
2019,41,Field,   Brendan Gaughan,1,0,0,0,0,197,0,30,23,0,492.5,0,0,-177,0
2019,42,Field,   Tyler Reddick,1,0,0,0,0,191,0,39,27,0,477.5,0,0,-177,0
2019,43,Field,   Bayley Currey,1,0,0,0,0,301,0,36,31,1,301,0,0,-177,0
2019,44,Field,   Garrett Smithley,1,0,0,0,0,254,0,35,36,1,391.16,0,0,-177,0
2019,45,Field,   Joey Gase,1,0,0,0,0,10,0,36,38,0,15,0,0,-177,0
2018,1,Gator Dad,Joey Logano,36,3,13,26,1,9826,934,9.8,10.7,33,13015.34,30,5040,0,15
2018,2,Up Front,"Martin Truex, Jr.",36,4,20,21,4,9760,1016,9.9,10.7,31,12987.83,30,5035,-5,30
2018,3,Baby Got Track,Kevin Harvick,36,8,23,29,4,9691,1990,8.8,8.8,32,12790.14,31,5034,-6,51
2018,4,Killer B's,Kyle Busch,36,8,22,28,4,10001,1469,7.4,8.3,33,13319.36,31,5033,-7,46
2018,5,Chasing Cletus,Aric Almirola,36,1,4,17,0,10003,181,15.6,12.8,34,13424.76,27,2354,"-2,686",6
2018,6,Chasing Cletus,Chase Elliott,36,3,11,21,1,9850,325,11.1,12.2,32,12947.08,25,2350,"-2,690",19
2018,7,Don't Beat My Johnson,Kurt Busch,36,1,6,22,5,9992,644,8.8,12.1,32,13255,26,2350,"-2,690",8
2018,8,Ricky Bobby,Brad Keselowski,36,3,12,20,0,9788,705,10.3,13.4,30,12763.11,27,2343,"-2,697",20
2018,9,Gator Dad,Kyle Larson,36,0,12,19,3,9768,782,12.8,12.6,32,12940.1,29,2299,"-2,741",4
2018,10,J-Town Throw Down,Ryan Blaney,36,1,8,16,3,9525,660,9.4,14.8,31,12945.56,27,2298,"-2,742",11
2018,11,Hollywood High Life,Denny Hamlin,36,0,10,17,4,9926,380,10.3,12.6,32,13127.85,27,2285,"-2,755",3
2018,12,Baby Got Track,Clint Bowyer,36,2,9,16,0,9911,490,13.7,13.8,30,13325.04,23,2272,"-2,768",11
2018,13,J-Town Throw Down,Austin Dillon,36,1,2,8,0,9993,23,18.8,17.5,33,13312.85,20,2245,"-2,795",5
2018,14,Don't Beat My Johnson,Jimmie Johnson,36,0,2,11,0,9764,40,19.2,16.7,32,12884.26,23,2242,"-2,798",0
2018,15,Up Front,Erik Jones,36,1,9,18,1,9836,99,10.6,14,33,12850.7,24,2220,"-2,820",5
2018,16,Baby Got Track,Alex Bowman,36,0,3,11,1,9977,71,13.1,17,33,13327.97,21,2204,"-2,836",0
2018,17,Gator Dad,Ryan Newman,36,0,0,9,0,10077,57,15.4,17.2,33,13521.83,21,769,"-4,271",0
2018,18,Hollywood High Life,"Ricky Stenhouse, Jr.",36,0,3,5,0,10076,133,14.8,19.4,30,13489.12,17,701,"-4,339",2
2018,19,Don't Beat My Johnson,Paul Menard,36,0,1,7,1,9410,14,17.2,19.4,31,12982.78,15,692,"-4,348",1
2018,20,Ricky Bobby,Jamie McMurray,36,0,2,8,0,9799,9,18.1,18.9,31,12973.62,17,683,"-4,357",0
2018,21,Chasing Cletus,Daniel Suarez,36,0,3,9,1,9682,35,17.4,18.5,33,12740.38,18,674,"-4,366",0
2018,22,Hollywood High Life,A.J. Allmendinger,36,0,1,5,0,9214,19,22.1,21.2,30,12645.19,12,603,"-4,437",1
2018,23,Killer B's,William Byron,36,0,0,4,0,9352,61,17.7,22.1,27,12396.47,13,587,"-4,453",0
2018,24,Redneck Ghoster,Chris Buescher,36,0,2,2,0,9759,1,21.6,21,33,13347.85,13,585,"-4,455",0
2018,25,Field,David Ragan,36,0,0,1,0,9882,0,24.2,22.9,34,13030.63,8,524,"-4,516",0
2018,26,Field,Michael McDowell,36,0,0,1,0,8964,33,23,24.5,30,12693.53,8,493,"-4,547",0
2018,27,Redneck Ghoster,Ty Dillon,36,0,0,1,0,9871,3,27.2,24.1,32,13031.91,11,482,"-4,558",0
2018,28,Up Front,Bubba Wallace,36,0,1,3,0,9391,19,24.8,24.5,30,12797.06,6,471,"-4,569",0
2018,29,J-Town Throw Down,Matt DiBenedetto,36,0,0,1,0,9610,8,29.1,27,29,12733.37,6,368,"-4,672",0
2018,30,Redneck Ghoster,Kasey Kahne,25,0,1,1,0,6584,30,26,22.8,22,9031.2,7,358,"-4,682",0
2018,31,Killer B's,Trevor Bayne,21,0,0,0,0,5752,0,20.6,23.9,15,7504.62,4,287,"-4,753",0
2018,32,Ricky Bobby,Matt Kenseth,15,0,0,2,0,4162,5,21.9,19.9,14,5555.69,7,268,"-4,772",1
2018,33,Field,Regan Smith,11,0,0,1,0,3162,10,28.5,23,11,4081.68,4,157,"-4,883",0
2018,34,Field,Corey LaJoie,23,0,0,0,0,5073,0,32.8,31.5,16,6844.87,2,144,"-4,896",0
