Season,Rank,Driver,Races,Win,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Points,Diff,Ppts
2017,67,Justin Marks,1,0,0,0,0,16,0,31,40,0,42.56,0,0,-5040,0
2017,46,Kevin O'Connell,1,0,0,0,0,108,0,36,33,1,214.92,0,4,"-5,036",0
2018,38,Kyle Weatherman,7,0,0,0,0,1774,0,32.7,32.3,6,2692.05,0,33,"-5,007",0
2017,45,Kyle Weatherman,2,0,0,0,0,782,0,38.5,34.5,2,550.68,0,5,"-5,035",0
2018,52,Landon Cassill,29,0,0,0,0,7832,0,33.9,29.7,26,10097.03,2,0,"-5,040",0
2018,41,Mark Thompson,1,0,0,0,0,203,0,40,22,1,507.5,0,15,"-5,025",0
2017,66,Mark Thompson,1,0,0,0,0,25,0,36,39,0,66.5,0,0,-5040,0
2018,26,Michael McDowell,36,0,0,1,0,8964,33,23,24.5,30,12693.53,8,493,"-4,547",0
2017,38,Michael Waltrip,1,0,0,1,0,200,0,30,8,1,500,1,29,"-5,011",0
2018,60,Parker Kligerman,4,0,0,0,0,922,0,31.8,26.2,4,1521.91,1,0,"-5,040",0
2018,68,"Ray Black, Jr.",1,0,0,0,0,167,0,39,16,1,417.5,0,0,"-5,040",0
2017,61,"Ray Black, Jr.",3,0,0,0,0,605,0,36.3,37.3,2,907.5,0,0,-5040,0
2018,55,Reed Sorenson,14,0,0,0,0,3297,0,34.7,32.6,8,4463.07,0,0,"-5,040",0
2018,33,Regan Smith,11,0,0,1,0,3162,10,28.5,23,11,4081.68,4,157,"-4,883",0
2017,62,Regan Smith,2,0,0,0,0,728,0,27.5,28,1,927.5,0,0,-5040,0
2018,51,Ross Chastain,34,0,0,0,0,8945,1,31.8,28.4,28,12036.27,3,0,"-5,040",0
2017,63,Ross Chastain,2,0,0,0,0,751,0,34,29,2,751,0,0,-5040,0
2017,54,Ryan Sieg,5,0,0,0,0,1167,0,34,31.6,4,1523.78,0,0,-5040,0
2018,72,Spencer Gallagher,1,0,0,0,0,73,0,34,35,1,178.85,0,0,"-5,040",0
2018,49,Stanton Barrett,1,0,0,0,0,11,0,39,40,0,25.07,0,1,"-5,039",0
2017,65,Stephen Leicht,1,0,0,0,0,153,0,36,32,1,382.5,0,0,-5040,0
2018,44,Tanner Berryhill,2,0,0,0,0,537,0,36.5,34.5,1,664,0,7,"-5,033",0
2018,53,Timmy Hill,21,0,0,0,0,4393,0,37.1,35.7,11,5980.26,0,0,"-5,040",0
2017,50,Timmy Hill,15,0,0,0,0,3940,0,37.3,32.6,11,4807.1,1,0,-5040,0
2018,69,Timothy Peters,1,0,0,0,0,187,0,32,23,1,497.42,0,0,"-5,040",0
2017,47,Tommy Regan,1,0,0,0,0,107,0,37,34,1,212.93,0,3,"-5,037",0
2018,46,Tomy Drissi,1,0,0,0,0,108,0,37,32,1,214.92,0,5,"-5,035",0
2017,4,Brad Keselowski,36,3,15,21,2,9493,778,8.8,12.4,31,12538.51,28,5030,-10,23
2017,28,Danica Patrick,36,0,0,1,0,9888,7,22.1,23.8,25,13049.75,13,511,"-4,529",0
2017,6,Denny Hamlin,36,2,15,22,2,10359,710,8.4,11.6,32,13727.43,28,2353,"-2,687",9
2018,1,Joey Logano,36,3,13,26,1,9826,934,9.8,10.7,33,13015.34,30,5040,0,15
2018,9,Kyle Larson,36,0,12,19,3,9768,782,12.8,12.6,32,12940.1,29,2299,"-2,741",4
2017,8,Kyle Larson,36,4,15,20,3,9776,1352,11.3,13.3,29,13095.49,25,2320,"-2,720",28
2017,31,Landon Cassill,36,0,0,0,0,9815,12,29.4,26.5,30,13307.79,5,382,"-4,658",0
2018,17,Ryan Newman,36,0,0,9,0,10077,57,15.4,17.2,33,13521.83,21,769,"-4,271",0
2017,27,A.J. Allmendinger,36,0,1,5,0,9941,7,23.9,22,31,13506.55,15,531,"-4,509",0
2017,52,B.J. McLeod,8,0,0,0,0,2325,0,37,33.4,7,2820.9,0,0,-5040,0
2017,15,Kasey Kahne,36,1,3,6,0,10068,41,17.9,19.4,29,13226.39,20,2198,"-2,842",5
2017,2,Kyle Busch,36,5,14,22,8,10284,2023,7.2,11.5,32,13530.25,28,5035,-5,39
2017,26,Michael McDowell,36,0,1,1,0,10446,10,23.9,22.2,34,13798.27,12,542,"-4,498",0
2018,22,A.J. Allmendinger,36,0,1,5,0,9214,19,22.1,21.2,30,12645.19,12,603,"-4,437",1
2018,11,Denny Hamlin,36,0,10,17,4,9926,380,10.3,12.6,32,13127.85,27,2285,"-2,755",3
2018,18,"Ricky Stenhouse, Jr.",36,0,3,5,0,10076,133,14.8,19.4,30,13489.12,17,701,"-4,339",2
2018,13,Austin Dillon,36,1,2,8,0,9993,23,18.8,17.5,33,13312.85,20,2245,"-2,795",5
2018,29,Matt DiBenedetto,36,0,0,1,0,9610,8,29.1,27,29,12733.37,6,368,"-4,672",0
2018,10,Ryan Blaney,36,1,8,16,3,9525,660,9.4,14.8,31,12945.56,27,2298,"-2,742",11
2017,25,Chris Buescher,36,0,0,4,0,9948,5,25.3,21.4,32,13479.42,14,564,"-4,476",0
2017,49,Corey LaJoie,32,0,0,0,0,8668,0,34.1,30.2,27,11049.23,1,0,-5040,0
2017,30,David Ragan,36,0,0,3,0,10188,4,29,24.9,32,13397.25,7,447,"-4,593",0
2017,12,Jamie McMurray,36,0,3,17,0,9824,21,10.1,14.6,31,12973.06,26,2224,"-2,816",0
